Geneid,231_N,MCF12a_S,MCF12a_N,MCF10a_S,MCF10a_N,CA1d_S,CA1d_N,CA1a_S,CA1a_N,453_S,453_N,231_S
1,139,728,642,1309,570,56,86,85,339,1863,1460,233
10,31,42,21,0,5,0,22,0,21,3,2,40
100,841,5142,3588,1984,1670,554,1182,44,1648,0,2,877
1000,26,0,143,5294,5322,0,290,78,199,2330,172,50
10000,1095,111,41,669,1640,101,569,44,517,13,36,815
100008587,0,0,0,0,0,0,0,0,0,0,0,0
100008588,0,0,0,0,0,0,0,0,0,0,0,0
100008589,0,0,0,0,0,0,0,0,0,0,0,0
100009601,2,0,0,0,0,0,0,0,0,0,0,0
100009602,4,0,4,1,18,0,0,0,0,2,7,10
100009605,293,0,48,121,237,0,17,0,31,107,193,287
100009606,15,32,0,14,8,0,5,0,0,2,8,16
100009607,4,0,0,0,28,0,18,0,0,6,7,0
100009613,0,0,0,0,0,0,0,0,0,2,5,0
100009676,515,2299,1494,1002,648,63,386,215,555,464,381,596
10001,1858,2556,2783,2784,2818,492,6295,139,2698,2643,2831,1863
10002,654,18,51,146,169,1,26,121,65,339,1186,791
10003,607,80,198,344,563,141,1530,97,203,371,273,569
100033411,183,8,130,5,6,0,0,0,0,121,62,186
100033413,0,0,18,39,62,0,0,0,33,43,46,0
100033414,0,11,22,83,63,0,20,0,24,30,61,0
100033415,0,59,2,11,24,0,0,0,0,25,49,0
100033416,1,100,30,266,331,0,49,39,102,249,236,1
100033417,0,1,1,34,23,0,0,0,0,12,21,0
100033418,0,34,5,80,115,0,44,0,2,155,59,0
100033419,0,0,9,148,102,0,38,0,29,282,41,0
100033420,0,33,5,59,47,0,0,0,0,32,36,0
100033421,0,0,12,15,30,0,0,0,0,34,18,0
100033422,0,52,11,4,10,0,0,0,0,1,17,0
100033423,0,0,0,20,17,0,0,0,0,15,23,0
100033424,0,0,6,39,43,0,4,0,2,29,27,0
100033425,0,0,29,233,154,0,10,0,43,312,113,0
100033426,2,0,7,238,175,0,49,0,18,257,121,2
100033427,0,0,0,47,32,0,0,0,8,45,34,0
100033428,0,25,7,38,27,0,0,0,0,38,43,0
100033429,0,64,0,32,31,0,0,0,13,20,34,0
100033430,0,42,27,181,244,0,31,27,15,354,111,0
100033431,0,48,27,280,226,0,53,36,35,549,183,0
100033432,0,19,25,633,312,89,136,0,147,1296,383,0
100033433,0,48,24,187,80,0,0,104,22,75,84,0
100033434,0,0,9,103,78,0,0,0,1,59,44,0
100033435,0,22,12,138,75,0,0,0,0,60,74,0
100033436,0,0,0,20,15,0,4,0,0,15,41,0
100033437,0,0,0,0,2,0,0,0,0,6,1,0
100033438,0,0,4,34,36,0,8,0,10,51,34,0
100033439,0,0,0,35,23,108,0,0,17,58,43,0
100033440,0,0,0,0,0,0,0,0,0,1,2,0
100033441,0,0,0,0,2,0,0,0,0,9,4,0
100033442,0,0,0,0,0,0,0,0,0,1,4,0
100033443,0,0,0,0,0,0,0,0,0,2,0,0
100033444,0,0,0,0,0,0,0,0,0,0,0,0
100033445,0,0,0,0,0,0,0,0,0,2,3,0
100033446,0,0,0,0,0,0,0,0,0,4,3,0
100033447,0,0,0,2,0,0,0,0,0,0,0,0
100033448,0,0,0,0,0,0,0,0,0,6,0,0
100033449,0,0,0,4,0,0,0,0,8,0,6,0
100033450,0,0,0,0,0,0,0,0,0,13,6,0
100033451,0,0,0,0,0,0,0,0,0,1,1,0
100033453,0,0,0,0,0,0,0,0,0,0,2,0
100033454,0,0,0,0,0,0,0,0,0,0,0,0
100033455,0,0,0,0,0,0,0,0,0,0,2,0
100033456,0,0,0,0,1,0,0,0,0,0,0,0
100033458,0,0,0,0,0,0,0,0,0,1,2,0
100033460,0,0,0,0,0,0,0,0,0,0,0,0
100033603,0,0,0,28,0,0,0,0,0,6,0,0
100033799,0,0,0,0,2,0,0,0,0,2,4,0
100033800,0,0,0,0,0,0,0,0,0,0,0,0
100033801,0,0,0,3,1,0,0,0,0,2,1,0
100033802,0,0,0,0,0,0,0,0,0,0,0,0
100033803,0,0,0,0,0,0,0,0,0,0,0,0
100033804,0,0,0,0,0,0,0,0,0,0,0,0
100033805,0,0,0,0,0,0,0,0,0,0,0,0
100033806,0,0,0,0,0,0,0,0,0,2,2,0
100033807,0,0,0,0,0,0,0,0,0,0,0,0
100033808,0,0,0,0,0,0,0,0,0,0,0,0
100033809,0,0,0,0,0,0,0,0,0,5,0,0
100033810,0,0,0,0,0,0,0,0,0,2,0,0
100033811,0,0,0,0,0,0,0,0,0,0,6,0
100033812,0,0,0,0,0,0,0,0,0,2,0,2
100033813,0,0,0,0,0,0,0,0,0,5,0,0
100033814,0,0,0,0,0,0,0,0,0,0,1,0
100033815,0,0,0,4,0,0,0,0,0,0,2,0
100033816,0,0,0,10,0,0,0,0,0,0,0,0
100033817,0,0,0,0,0,0,0,0,2,2,3,0
100033818,0,0,0,0,0,0,0,0,0,0,2,0
100033819,0,0,0,0,0,0,0,0,0,0,0,0
100033820,0,0,6,94,81,0,0,0,8,49,48,0
100033821,0,0,0,47,22,0,0,0,0,20,36,0
100033822,0,0,0,0,2,0,0,0,0,1,0,0
100034743,721,194,199,275,384,87,61,81,67,731,884,680
100036563,0,0,0,0,0,0,0,0,0,0,0,0
100036564,0,0,0,0,0,0,0,0,0,2,0,0
100036565,0,0,0,0,0,0,0,0,0,0,0,0
100036566,0,0,0,0,0,0,0,0,0,0,4,0
100036567,0,0,0,0,0,0,0,0,0,5,0,0
100037417,6,3,7,12,19,0,27,0,4,11,4,14
100038246,1,186,138,0,0,0,4,0,0,39,130,5
10004,64,92,39,63,43,0,66,0,86,49,43,71
100048912,0,11,10,23,0,0,0,0,0,227,105,0
100049076,1410,1047,398,532,1250,113,588,46,732,169,263,1279
100049587,3,52,34,12,2,162,64,502,31,1,4,10
100049613,14,38,17,1,2,0,0,0,0,0,0,12
100049614,389,85,87,139,562,0,19,0,37,115,226,387
100049716,887,271,289,258,221,0,39,359,46,202,60,937
10005,2107,1894,1745,2210,1767,706,639,397,1922,2118,1455,2185
10006,4236,7695,7101,4165,3838,1481,7811,975,7661,3381,3793,4353
10007,3065,2293,4840,9437,6585,2253,6645,1305,9452,3145,3306,3183
100073347,0,0,0,0,0,0,0,0,0,0,0,0
10008,2,66,123,793,1534,175,2,87,26,2,4,8
10009,5116,1792,3140,5401,5227,733,1807,837,3194,2873,2493,5127
100093630,3941,12702,6628,10470,10259,1702,14182,1798,19168,7690,2848,3832
100093631,1984,2792,2737,1891,1741,95,1041,429,987,1752,1772,1998
100093698,2,4,0,0,0,0,0,0,0,0,0,0
1001,1023,16234,15656,1344,139,3518,19799,4020,23588,786,300,1161
10010,4215,4518,4220,5551,6001,227,3837,858,2866,3633,3036,4252
100101115,0,0,0,0,0,0,0,0,0,0,0,0
100101116,0,0,0,0,0,0,0,0,0,0,0,0
100101117,0,0,0,0,0,0,0,0,0,0,0,0
100101118,0,0,0,0,0,0,0,0,0,0,0,0
100101120,0,0,0,1,0,0,0,0,0,0,0,0
100101121,0,0,0,0,0,0,0,0,0,0,0,0
100101148,457,4,32,25,108,77,43,6,46,172,172,427
100101266,78,88,7,9,17,66,0,0,0,20,58,75
100101267,14761,20932,20132,22405,22599,1916,17221,3496,10600,13839,10100,16666
100101440,135,441,255,89,123,0,92,62,163,165,226,89
100101467,3733,1201,1216,2440,2183,297,425,127,792,1581,2596,3817
100101478,17,0,0,4,7,0,5,0,3,4,1,35
100101490,840,1154,756,907,1284,84,860,124,594,1601,1174,928
100101938,1,0,0,1,0,0,0,0,0,6,0,0
10011,3390,11357,6268,7784,6316,788,8967,2433,5137,3171,2319,3642
100113378,28,0,21,30,34,0,109,0,123,22,42,38
100113379,69,42,111,58,45,0,73,0,104,69,83,105
100113380,0,0,0,0,0,0,0,0,0,0,0,0
100113381,62,0,11,50,98,35,31,0,87,79,114,59
100113382,22,148,45,63,50,0,28,0,68,36,32,42
100113384,0,0,17,0,0,0,0,0,0,0,0,0
100113386,1765,4532,3388,3557,2493,385,1945,1399,2789,2632,2587,2133
100113389,18,0,3,1,18,0,4,0,2,19,28,24
100113391,19,35,11,30,22,18,49,0,26,11,4,35
100113392,35,0,6,13,75,0,345,0,230,39,41,48
100113393,284,1551,891,182,444,48,192,1,965,267,197,280
100113402,42,0,23,53,41,0,0,0,13,16,25,42
100113403,0,32,1,0,0,1,0,0,0,0,0,0
100113404,0,0,0,0,0,0,0,0,0,0,0,0
100113407,2366,174,283,1582,2539,99,520,391,1062,1101,785,3089
100124412,7,0,0,0,4,0,0,0,0,0,0,1
100124516,82,48,77,89,138,92,626,0,941,105,89,68
100124533,105,50,17,40,37,0,56,0,36,57,68,124
100124534,16,43,22,27,15,0,26,10,89,19,6,22
100124535,10,0,14,7,12,0,4,0,18,2,6,20
100124536,46,85,22,8,15,15,9,0,47,84,122,33
100124537,47,0,64,38,51,0,24,0,28,64,61,38
100124538,0,0,0,0,0,0,0,0,0,12,21,0
100124539,46,0,20,30,24,0,15,0,0,23,51,58
100124540,0,0,0,0,0,0,0,0,0,0,0,0
100124541,0,0,0,0,0,0,0,0,0,0,0,0
100124700,29,179,347,238,467,0,64,548,555,2024,2729,28
100125288,664,661,151,357,204,1,267,3,282,731,660,834
100125556,118,190,158,301,217,167,72,165,70,325,137,123
100126270,32,123,107,23,36,0,78,0,68,64,86,50
100126296,3,0,0,4,18,0,0,0,0,44,69,0
100126297,0,0,0,0,0,0,0,0,0,0,0,0
100126299,71,0,1,0,0,0,0,0,0,0,0,56
100126301,0,0,0,0,0,0,0,0,0,0,0,0
100126302,2,0,0,0,0,0,0,0,0,0,2,1
100126303,0,0,0,0,0,0,0,0,0,0,0,0
100126304,0,0,0,0,0,0,0,0,0,0,0,0
100126306,0,0,0,0,0,0,0,0,0,0,0,0
100126307,0,0,0,0,0,0,0,0,0,0,0,0
100126308,0,0,0,0,0,0,0,0,0,0,0,0
100126309,2,0,21,0,3,0,0,0,0,4,6,12
100126310,10,0,2,22,6,0,0,0,1,0,0,6
100126311,0,0,0,0,0,0,0,0,0,0,0,0
100126313,57,52,43,25,13,0,0,89,0,5,11,79
100126314,0,0,0,0,0,0,0,0,0,0,0,0
100126315,0,0,0,0,0,0,0,0,0,0,0,0
100126316,21,0,0,11,15,0,8,0,14,0,0,28
100126317,0,0,0,0,0,0,0,0,0,0,0,0
100126318,6,0,0,0,11,0,0,0,0,7,2,11
100126319,0,10,0,0,0,0,0,0,0,0,0,0
100126320,20,0,3,43,23,0,0,0,0,0,0,16
100126321,0,0,0,0,0,0,0,0,0,0,0,0
100126323,15,0,5,26,28,0,1,0,0,30,17,20
100126324,0,0,0,0,0,0,0,0,0,0,0,0
100126325,0,0,0,0,0,0,0,0,0,0,0,0
100126326,0,54,8,0,0,0,4,3,11,0,0,0
100126327,47,40,43,39,46,0,45,0,47,27,44,90
100126328,44,156,68,71,40,0,5,24,19,94,84,55
100126329,2,0,0,0,1,0,7,0,1,0,1,1
100126330,0,0,0,0,0,0,0,0,0,0,0,0
100126331,50,0,3,5,22,0,2,0,17,18,6,43
100126332,17,15,7,26,14,0,129,0,111,18,23,18
100126333,0,0,0,12,9,0,0,0,5,2,0,0
100126334,0,0,0,0,2,0,0,0,0,0,0,0
100126335,0,0,0,0,0,0,0,0,0,0,0,0
100126336,0,0,0,0,0,0,0,0,0,0,0,0
100126337,0,0,0,0,0,0,0,0,0,0,0,0
100126338,0,0,0,0,0,0,0,0,0,0,0,0
100126339,0,0,0,0,0,0,0,0,0,0,0,0
100126340,0,0,6,0,0,0,6,0,5,1,3,0
100126341,0,0,0,0,0,0,0,0,0,0,0,0
100126342,0,0,0,0,0,0,0,0,0,0,0,0
100126343,0,0,0,0,0,0,0,0,0,0,0,0
100126345,0,0,0,0,0,0,0,0,0,0,0,0
100126346,0,0,2,6,0,0,0,7,0,0,0,1
100126347,0,0,0,0,0,0,0,0,0,0,0,0
100126348,152,26,64,120,50,0,31,0,19,55,20,122
100126349,0,21,0,36,14,0,20,0,3,0,0,0
100126350,51,266,59,77,60,0,65,0,178,40,59,59
100126351,0,2,2,4,0,0,1,0,4,2,2,0
100126352,0,0,0,0,0,0,0,0,0,0,0,0
100126354,0,0,0,0,0,0,0,0,0,0,0,0
100126355,24,43,65,18,59,0,36,0,26,21,18,36
100126356,8,16,15,19,61,0,0,0,0,57,94,4
100126447,0,0,3,0,2,0,0,0,27,0,0,2
100126476,0,0,0,0,0,0,0,0,0,0,0,0
100126481,0,0,0,0,0,0,0,0,0,0,0,0
100126484,0,0,0,0,0,0,0,0,0,0,0,0
100126488,65,44,25,319,336,0,0,0,17,31,27,97
100126510,0,0,5,0,0,0,0,0,0,0,0,3
100126512,449,35,85,289,468,0,81,0,18,301,766,418
100126514,10,0,0,5,4,0,2,0,0,0,7,5
100126517,1,0,46,84,369,0,37,0,28,0,2,2
100126520,54,4,3,43,69,0,14,0,74,34,100,66
100126533,383,0,46,42,379,0,42,0,2,81,128,335
100126693,1,0,0,0,0,0,0,0,0,0,4,2
100126780,0,0,0,0,1,0,0,0,0,0,0,0
100126781,0,0,0,0,0,0,0,0,0,0,0,0
100126784,2620,804,808,1476,2576,424,301,383,1043,866,25,3481
100126791,128,134,109,115,200,14,16,175,5,1103,4441,110
100126793,808,446,786,1046,1008,119,200,191,199,655,695,960
100126798,1,0,0,0,0,0,1,0,0,1,1,1
100126799,0,0,0,0,0,0,0,0,0,0,0,0
100126800,0,0,0,0,0,0,0,0,0,0,0,0
100127206,0,0,0,0,0,0,0,0,0,0,0,4
100127888,3284,278,854,3326,791,12,298,1099,772,288,123,3531
100127889,130,76,57,108,95,0,13,0,11,107,86,141
100127967,1,0,0,0,0,1,1,0,1,0,0,0
100127983,60,45,9,142,117,85,9,0,11,0,0,88
100128006,0,0,15,0,0,0,0,0,0,0,5,0
100128023,16,0,29,19,86,0,0,117,0,0,0,38
100128025,49,219,120,81,62,0,10,0,55,10,7,48
100128054,238,2,4,4,11,0,0,0,0,0,0,331
100128055,59,345,113,109,72,0,130,0,117,125,136,72
100128071,1060,195,475,494,459,528,1088,638,1761,734,723,1025
100128076,121,168,93,7,24,133,19,0,52,10,6,156
100128081,7,1,1,8,5,109,0,0,0,0,0,7
100128098,2,0,0,0,0,0,0,0,0,694,1095,0
100128108,0,0,0,3,0,0,0,0,0,3,3,1
100128124,18,20,25,18,7,1,17,0,3,35,8,31
100128126,106,215,324,108,145,0,33,46,39,38,23,106
100128127,0,0,0,0,0,0,0,0,0,0,0,0
100128139,0,0,0,0,0,0,0,0,0,0,0,0
100128164,15,120,76,7,10,0,3,0,23,17,41,14
100128176,157,132,80,55,60,0,4,0,36,26,24,186
100128191,380,560,528,345,664,78,163,55,199,331,184,509
100128233,1,0,0,9,2,2,0,0,0,10,4,6
100128239,32,10,28,44,28,0,0,0,10,126,186,19
100128252,5,0,0,0,0,0,0,0,0,5,0,3
100128264,0,0,0,0,0,0,0,88,0,0,2,0
100128285,551,61,259,38,26,0,0,0,0,7,6,457
100128288,554,147,247,123,98,0,0,0,10,208,276,415
100128292,1,2,1,0,1,0,0,0,0,0,2,0
100128317,29,0,0,75,8,110,61,0,0,0,0,38
100128327,1,0,0,0,0,0,0,0,0,0,0,1
100128338,6,245,121,35,42,2,110,218,188,1022,397,8
100128361,443,444,529,635,803,60,619,271,711,520,368,528
100128378,103,446,156,5,14,0,179,112,202,28,17,64
100128385,23,3,10,144,36,4,3,0,23,0,0,29
100128398,80,560,493,0,0,0,17,0,12,34,125,136
100128420,0,0,0,14,4,0,0,0,0,38,5,3
100128494,852,1064,1003,703,626,47,864,406,734,866,1517,934
100128496,6,0,0,0,0,0,29,0,0,0,0,3
100128505,81,18,81,92,158,0,4,41,16,222,561,56
100128511,69,124,134,111,120,0,0,6,147,116,60,47
100128531,320,454,752,661,548,1,421,891,570,1335,1043,362
100128553,37,355,519,410,287,298,70,83,118,591,577,36
100128554,4,0,0,0,0,0,0,0,0,0,0,0
100128560,2,160,29,0,0,0,0,0,0,1,2,12
100128568,95,381,217,78,128,0,45,1,118,85,63,139
100128569,2543,2820,2762,3063,1810,155,1156,5293,3992,1883,1870,2998
100128573,111,0,52,43,33,0,3,38,26,56,83,109
100128590,0,0,0,6,13,0,10,0,10,40,34,5
100128593,10,0,0,4,0,0,10,0,0,17,0,14
100128627,12,58,183,113,94,0,0,1,1,111,70,20
100128640,430,725,263,456,348,0,101,0,130,277,387,454
100128653,1224,5306,3819,1597,673,588,2339,258,5577,1276,1010,1274
100128675,10,111,16,0,3,0,3,1,33,1,4,9
100128682,0,97,0,1,1,116,1,0,2,1,4,0
100128714,0,0,0,0,0,0,0,0,0,0,1,0
100128731,2764,2792,3280,4096,4392,469,3999,983,4766,2268,1753,2963
100128750,60,662,548,118,78,0,130,113,173,0,0,68
100128770,39,9267,10075,28,26,58,601,1346,2655,2712,3163,35
100128782,641,1864,1845,2309,1050,0,321,131,538,137,164,765
100128787,1,0,0,0,0,0,0,0,0,0,0,2
100128788,149,93,176,154,163,0,31,0,86,169,298,210
100128811,1,0,0,0,0,0,0,0,0,0,0,0
100128822,953,2235,1419,932,456,342,374,281,727,834,555,1166
100128881,2354,819,942,3743,4763,236,1643,406,1187,1738,898,2498
100128885,0,0,0,0,0,115,0,0,0,176,104,1
100128890,198,302,214,335,304,0,27,401,82,4,26,154
100128893,55,253,87,45,21,0,281,0,169,40,51,106
100128905,3,0,5,34,4,0,9,0,23,6,6,0
100128927,712,4425,4233,994,631,0,413,1142,511,9101,5926,807
100128946,0,0,0,0,0,0,0,0,0,3,1,0
100128977,11,0,0,0,2,0,0,0,1,1,2,12
100128993,2,0,2,0,1,0,8,0,0,0,1,9
100128998,22,251,102,0,1,0,16,26,0,0,4,54
100129027,458,181,269,451,515,0,2,139,0,0,0,450
100129034,14999,3631,4886,8642,7850,849,6866,1636,6974,12643,14702,15696
100129046,3643,422,567,1333,1522,64,299,189,1162,1834,1843,3940
100129055,8,0,0,6,3,0,0,0,0,14,8,9
100129066,0,0,0,0,0,0,0,0,0,0,2,0
100129075,631,202,170,248,368,0,103,0,274,207,109,781
100129083,8,31,3,0,2,0,4,0,0,1,4,9
100129094,186,73,97,27,27,0,12,0,10,47,110,248
100129098,2,0,0,0,0,0,0,0,0,0,0,0
100129128,25,0,0,10,6,0,0,0,0,4,17,35
100129138,12,1,0,0,1,0,1,0,5,0,1,29
100129148,1,0,15,0,7,0,7,0,22,11,16,6
100129175,2,1,0,0,0,0,0,0,0,153,154,0
100129195,243,30,151,203,524,0,39,140,34,61,109,281
100129196,705,858,606,443,313,0,92,291,212,599,292,664
100129203,181,341,68,133,6,0,78,36,88,98,55,329
100129213,0,0,0,1,0,36,0,0,0,0,1,0
100129215,493,472,527,255,287,0,263,296,225,244,327,538
100129216,94,19,92,34,48,0,9,0,14,69,62,88
100129223,7,64,2,0,0,0,0,0,10,0,9,13
100129239,0,0,0,0,0,0,0,0,0,0,0,0
100129250,426,787,660,434,476,30,400,45,376,661,670,557
100129269,66,1,1,13,13,0,2,0,17,24,8,97
100129271,0,0,0,0,0,0,0,0,0,0,0,0
100129278,6,0,0,0,0,226,0,0,0,0,2,0
100129307,0,0,19,0,0,1,12,111,56,0,0,0
100129316,96,0,81,113,33,0,20,65,15,30,63,146
100129345,0,0,0,0,0,0,0,0,0,0,0,0
100129354,187,186,83,99,120,120,18,0,34,196,192,227
100129361,15,27,16,22,20,0,13,0,3,12,10,15
100129385,268,0,0,4,3,0,6,0,0,0,0,185
100129387,8415,4530,3135,2131,2746,114,421,398,653,5074,4528,8946
100129396,11,0,0,177,313,257,511,151,425,0,0,2
100129405,1162,1424,1145,1667,1148,346,324,592,1504,2778,1785,1393
100129407,0,1,0,0,0,0,0,0,0,0,0,0
100129424,44,72,44,60,47,4,14,4,27,16,13,38
100129427,0,0,0,1,9,0,0,0,0,11,0,2
100129434,82,0,11,138,10,0,18,0,42,34,10,116
100129460,762,454,458,274,467,132,155,26,296,71,84,882
100129461,674,205,350,669,670,103,102,0,280,528,381,868
100129464,5,0,0,4,1,0,0,0,0,0,0,2
100129480,847,316,285,556,813,55,164,58,212,594,449,805
100129482,3675,7401,5345,8257,7410,72,1046,1469,1802,3411,2485,4422
100129503,1948,501,472,306,277,0,235,495,913,633,1034,1922
100129515,1,0,0,0,0,0,0,0,18,1,0,0
100129518,123,422,429,1078,424,113,869,0,462,258,189,188
100129520,4,0,11,0,0,0,1,1,0,0,2,0
100129528,30,1,0,1,4,0,0,0,4,8,2,15
100129534,280,200,332,109,140,0,17,62,82,157,225,300
100129543,3,1,0,3,0,139,0,0,0,4,2,8
100129550,1697,1778,3642,3556,1714,646,792,788,1807,230,227,1691
100129583,119,189,194,100,48,0,14,1,29,75,76,163
100129597,6,0,2,0,0,0,0,0,0,0,0,0
100129603,3,0,0,0,7,0,0,0,0,0,3,9
100129617,374,403,540,102,226,197,365,377,268,261,234,451
100129620,2,0,0,0,0,0,0,138,0,0,0,0
100129636,0,0,0,0,0,0,0,0,0,0,0,0
100129654,55,0,5,23,0,0,0,0,0,0,4,43
100129662,60,0,13,2,6,0,0,0,0,52,141,66
100129669,0,0,0,0,4,0,0,0,0,0,0,0
100129697,0,39,0,0,0,0,0,0,10,0,0,0
100129716,381,1241,1105,1041,973,385,485,262,317,831,614,454
100129722,24,14,1,0,10,0,1,0,0,28,43,21
100129726,532,1385,586,900,198,303,157,30,94,219,206,649
100129792,5,0,0,15,21,0,0,0,0,166,220,14
100129794,478,242,165,52,96,0,33,0,66,200,331,511
100129827,11,34,24,9,1,0,5,0,0,1,0,18
100129842,125,42,24,195,111,0,0,2,39,2572,7711,91
100129845,141,63,41,1,3,0,20,1,20,73,178,226
100129858,30,31,82,68,53,0,9,0,9,39,65,59
100129860,0,0,0,0,0,0,0,0,0,0,0,0
100129917,2954,3372,2255,2642,2804,225,765,222,806,2829,3482,2953
100129924,333,40,58,10,23,57,190,0,214,321,266,348
100129931,163,524,221,220,226,0,123,28,73,233,365,167
100129935,2,0,0,0,4,0,0,0,0,0,2,0
100129940,66836,1339,1646,5590,16948,91,1140,120,1187,1,0,71514
100129961,29,370,352,160,166,0,143,0,81,55,69,55
100129973,125,39,131,65,28,0,6,0,26,174,159,131
10013,5657,8657,6284,7513,5377,2917,50752,2741,12227,7900,5755,6810
100130015,482,138,398,463,558,136,111,0,119,498,720,507
100130017,4,0,2,0,0,0,0,0,0,0,1,3
100130075,16,1153,353,26,9,0,15,0,0,10,15,12
100130086,1,0,22,2,3,0,0,2,1,8,22,6
100130093,402,1124,664,971,614,7,69,92,71,1436,1682,442
100130097,1259,675,414,582,778,0,3,84,43,792,558,1247
100130100,2936,465,267,519,270,10,156,166,299,144,62,4174
100130148,38,0,0,0,9,0,56,0,22,4,23,24
100130155,0,0,0,0,0,0,0,0,0,1,0,0
100130197,99,81,167,51,77,1,30,57,89,88,94,140
100130231,26,0,2,18,1,145,24,883,120,11,0,18
100130238,583,59,164,390,204,0,0,0,4,5,0,796
100130264,0,15,47,0,0,0,12,0,0,295,1272,0
100130274,4,0,0,0,0,0,0,0,0,2,0,1
100130275,46,2232,1187,435,308,503,713,269,746,1545,2146,41
100130298,15,32,100,0,0,0,0,0,0,0,0,25
100130301,6,105,56,0,16,5,0,3,0,52,39,8
100130302,0,0,0,0,2,0,0,0,0,4,0,0
100130311,588,752,343,228,181,0,137,136,68,89,109,689
100130331,4,6,19,1,2,0,4,2,6,3,1,4
100130342,54,28,57,22,3,0,29,0,7,47,90,58
100130345,6,0,0,0,4,0,0,0,0,1,8,0
100130348,305,208,143,133,125,4,114,43,132,197,121,333
100130357,811,161,641,296,318,153,452,567,470,710,1035,889
100130361,0,0,0,0,0,0,0,0,0,1,0,0
100130370,584,85,104,96,35,0,37,0,42,152,147,606
100130386,4,36,0,0,4,0,17,0,6,2,2,4
100130417,242,301,277,530,528,0,114,185,50,3709,3274,315
100130418,912,1107,781,1851,2306,210,868,448,650,1861,2343,928
100130449,192,65,277,428,646,0,218,165,233,304,249,221
100130451,52,34,17,8,2,0,22,0,0,4,24,54
100130452,19,0,20,4,16,0,41,0,0,17,11,16
100130460,48,470,197,49,144,6,8,51,9,7,9,40
100130476,237,749,461,498,213,151,139,0,311,26,23,267
100130480,0,0,0,0,0,0,5,0,0,0,0,0
100130519,182,156,80,69,81,1,54,167,5,57,81,190
100130520,6,0,0,32,15,0,63,227,0,0,1,0
100130522,662,177,362,805,631,160,277,0,556,710,717,682
100130539,0,0,0,0,0,0,0,0,0,0,0,0
100130557,796,1103,610,599,668,9,187,1,161,319,342,876
100130581,744,989,905,507,399,0,53,0,272,235,239,908
100130587,2,0,1,0,2,0,0,0,0,8,3,0
100130613,0,0,3,26,3,0,18,0,0,2,6,0
100130673,2,0,4,11,8,0,0,0,1,2,6,4
100130691,1685,313,629,1097,1493,292,79,2,193,159,141,1550
100130700,0,0,3,0,0,0,0,0,0,0,0,0
100130705,430,277,339,191,103,11,26,0,137,115,175,399
100130717,6,201,94,107,137,0,25,0,7,126,119,11
100130733,273,70,97,90,113,0,134,0,101,172,190,245
100130742,564,444,399,267,328,0,116,0,124,444,408,638
100130744,2790,584,1151,1047,771,157,408,261,296,431,613,2802
100130771,34,0,66,60,67,0,0,0,9,10,40,33
100130776,62,44,31,70,63,14,11,0,118,60,44,50
100130827,224,1,14,351,197,0,26,1,18,0,0,284
100130849,0,0,0,0,0,0,0,0,0,0,2,0
100130855,246,100,98,116,199,0,38,0,153,489,710,279
100130872,43,103,146,25,54,129,2,0,3,3,26,28
100130880,251,116,572,65,236,0,18,0,34,300,335,261
100130887,110,52,51,47,60,0,2,102,11,76,86,93
100130889,4,0,0,26,37,0,17,0,0,0,0,0
100130890,579,846,624,847,1076,60,103,0,266,529,746,681
100130894,362,348,422,293,297,208,68,58,127,164,199,440
100130899,15,1496,4777,1073,756,124,1220,1006,4931,638,352,5
100130933,519,390,735,464,456,0,197,3,342,455,561,657
100130934,0,0,0,0,0,0,0,0,0,2,0,0
100130935,0,0,0,0,0,0,0,0,0,0,0,0
100130950,102,128,90,80,48,50,44,0,13,67,155,103
100130954,1,0,19,0,0,0,0,0,0,6,0,1
100130958,324,712,448,310,399,56,190,159,409,14,13,259
100130964,0,0,0,0,0,0,0,0,0,0,0,0
100130967,17,864,324,30,29,0,210,0,124,622,321,30
100130987,504,2717,1211,446,287,335,436,373,1319,1278,989,540
100130988,1,0,0,0,0,0,0,0,0,0,1,0
100130992,4,194,145,217,81,0,0,0,47,192,229,8
100131017,9124,53776,24569,19546,11514,1308,5936,6091,18131,16066,10666,10412
100131047,0,0,0,0,0,0,0,0,0,0,0,0
100131060,37,275,165,94,70,0,2,10,41,53,55,35
100131067,1407,938,1093,893,924,22,326,221,569,952,1179,1390
100131089,233,140,295,584,423,0,126,59,183,289,524,263
100131094,846,667,518,599,557,72,330,31,249,518,638,834
100131096,1801,952,806,193,160,77,147,531,351,713,757,2015
100131107,6,125,14,0,6,0,0,0,25,0,0,0
100131117,266,44,113,292,189,0,30,0,186,0,2,373
100131137,0,0,0,0,0,0,0,0,0,0,0,0
100131138,0,14,0,0,0,0,0,0,0,0,0,1
100131176,2,68,22,3,2,0,22,0,0,4,8,3
100131187,30,1571,1994,1092,846,96,1146,1387,3617,5493,4422,42
100131193,1147,819,839,765,565,2,301,389,461,3470,5085,1321
100131205,840,324,492,619,1060,11,1178,78,1097,716,398,834
100131208,23,0,5,6,36,0,142,0,4,0,1,19
100131211,2212,2268,2246,3828,3960,91,2226,514,2262,672,664,2393
100131213,857,2616,2294,918,730,184,302,63,340,1110,863,928
100131234,1003,979,570,271,347,0,122,140,70,1518,2079,976
100131244,559,142,5,3,19,1,24,63,14,16,13,701
100131257,374,1,27,11,12,0,12,0,23,7,12,448
